outcode,sale_year,sale_month,price,propertyType,bedrooms,bathrooms,tenure,currentEnergyRating,floorAreaSqM,fullAddress,name,description,image,dataAiHint,longitude,latitude
E1,2023,1,650000,Terrace Property,3,1,Freehold,D,110,"10 Market St, E1","Charming E1 Home","A lovely home in E1.","https://placehold.co/600x400.png","house exterior",-0.0722,51.5154
E1,2023,4,680000,Terrace Property,3,2,Freehold,C,120,"12 Market St, E1","Renovated E1 Property","Recently renovated.","https://placehold.co/600x401.png","modern house",-0.0720,51.5155
E1,2023,7,660000,Purpose Built Flat,2,1,Leasehold,B,80,"Flat 5, E1 Towers, London","E1 Flat with View","Great city views.","https://placehold.co/600x402.png","apartment building",-0.0710,51.5160
E1,2023,10,700000,Terrace Property,4,2,Freehold,D,130,"15 Market St, E1, London","Spacious E1 Terrace","Large family home.","https://placehold.co/600x403.png","large house",-0.0700,51.5165
E1,2022,2,600000,Converted Flat,2,1,Leasehold,E,75,"1 Victorian Mews, London, E1","Historic E1 Flat","Character property.","https://placehold.co/600x404.png","old building",-0.0750,51.5140
E1,2022,5,620000,Terrace Property,3,1,Freehold,D,100,"5 Garden Row, E1","E1 House with Garden","Nice garden space.","https://placehold.co/600x405.png","house garden",-0.0740,51.5145
E1,2022,8,610000,Purpose Built Flat,2,2,Leasehold,C,85,"Apt 10, E1 Central, London","Central E1 Apartment","Convenient location.","https://placehold.co/600x406.png","city apartment",-0.0730,51.5150
E1,2022,11,630000,Terrace Property,3,1,Freehold,D,105,"8 River View, E1","E1 Riverside Home","Close to the river.","https://placehold.co/600x407.png","riverside house",-0.0725,51.5152
E1,2021,3,550000,Semi-Detached House,3,1,Freehold,E,95,"2 Park Side, E1, London","E1 Semi-Detached","Near the park.","https://placehold.co/600x408.png","suburban house",-0.0780,51.5130
E1,2021,6,570000,Terrace Property,2,1,Freehold,D,90,"20 Old St, E1","Quaint E1 Cottage","Full of character.","https://placehold.co/600x409.png","cottage exterior",-0.0770,51.5135
E1,2021,9,560000,Converted Flat,1,1,Leasehold,C,60,"The Loft, E1 Warehouse, London","E1 Loft Style","Industrial chic.","https://placehold.co/600x410.png","loft apartment",-0.0760,51.5138
E1,2021,12,580000,Terrace Property,3,2,Freehold,D,115,"3 New Build, E1","Modern E1 Build","Newly constructed.","https://placehold.co/600x411.png","new house",-0.0755,51.5139
SW1A,2023,1,1750000,Purpose Built Flat,2,2,Leasehold,B,90,"Royal Apt, St James's, SW1A","Luxury SW1A Flat","Prime location.","https://placehold.co/600x412.png","luxury apartment",-0.1357,51.4975
SW1A,2023,5,1850000,Detached House,3,3,Freehold,C,150,"1 Palace View, Westminster, SW1A","SW1A Detached Home","Overlooking park.","https://placehold.co/600x413.png","mansion", -0.1360,51.4980
SW1A,2022,6,1700000,Purpose Built Flat,2,2,Leasehold,B,85,"The Westminster, SW1A, London","Central SW1A Living","Heart of Westminster.","https://placehold.co/600x414.png","historic building", -0.1350,51.4970
SW1A,2021,7,1600000,Terrace Property,3,2,Leasehold,C,120,"1 Government Mews, SW1A","SW1A Townhouse","Elegant townhouse.","https://placehold.co/600x415.png","townhouse exterior", -0.1340,51.4960
N1,2023,2,1100000,Detached House,4,2,Freehold,C,170,"Islington Villa, Barnsbury, N1","Spacious N1 Villa","Large family villa.","https://placehold.co/600x416.png","villa",-0.1062,51.5348
N1,2022,8,1050000,Terrace Property,3,2,Freehold,D,140,"Angel Terrace, Islington, N1, London","N1 Period Terrace","Classic period home.","https://placehold.co/600x417.png","period house",-0.1050,51.5340
N1,2021,10,950000,Converted Flat,2,1,Leasehold,C,100,"Regents Canal Apt, N1","N1 Canal Flat","Waterside living.","https://placehold.co/600x418.png","canal apartment",-0.1040,51.5330
E10,2023,3,470000,Semi-Detached House,3,1,Freehold,D,90,"Leyton Green, Leyton, E10","E10 Family House","Ideal for families.","https://placehold.co/600x419.png","family house",0.0030,51.5680
E10,2022,9,450000,Terrace Property,2,1,Freehold,E,80,"Orient Way, E10, London","E10 Starter Home","Great first buy.","https://placehold.co/600x420.png","small house",0.0020,51.5670
E11,2023,6,530000,Mid Terrace House,3,1,Freehold,C,95,"Wanstead Flats View, E11","E11 Home with View","Overlooks Wanstead Flats.","https://placehold.co/600x421.png","suburban street",0.0090,51.5700
E11,2022,12,510000,Purpose Built Flat,2,1,Leasehold,B,70,"Station Approach, Leytonstone, E11","E11 Commuter Flat","Near the station.","https://placehold.co/600x422.png","modern block",0.0080,51.5690
